node_id,lat,lon,alt
ESCAT0800000008328A,41.50639,2.2783327,279.78516
ESCAT0800000008328B,41.49694,2.2952778,118.65234
ESCAT0800000008350A,41.592773,2.5649998,84.47266
ESCAT0800000008913B,41.439995,2.2174997,60.058594
ESCAT0800000008913C,41.46,2.2180557,44.921875
ESCAT0800000008912B,41.445004,2.243333,24.902344
ESCAT0800000008695A,42.257774,1.8602779,865.72266
ESCAT0800000008018D,41.40055,2.1936104,11.71875
ESCAT0800000008014C,41.384163,2.1330557,61.523438
ESCAT0800000008035A,41.42083,2.1175,279.78516
ESCAT0800000008024A,41.410557,2.1633327,94.72656
ESCAT0800000008041B,41.41972,2.1724997,125.97656
ESCAT0800000008014F,41.37111,2.1374998,25.878906
ESCAT0800000008023I,41.4125,2.139167,160.15625
ESCAT0800000008600A,42.099163,1.846111,684.08203
ESCAT0800000008349A,41.509167,2.401667,8.7890625
ESCAT0800000008370A,41.614166,2.6647217,6.8359375
ESCAT0800000008506A,41.9275,2.285556,487.79297
ESCAT0800000008360C,41.586945,2.5772219,42.48047
ESCAT0800000008360D,41.590275,2.5769439,43.45703
ESCAT0800000008440C,41.63694,2.3580558,199.70703
ESCAT0800000008261B,41.921112,1.6830559,421.38672
ESCAT0800000008860B,41.265274,1.9561108,1.953125
ESCAT0800000008290B,41.490273,2.1369438,110.35156
ESCAT0800000008850A,41.306107,1.995,44.921875
ESCAT0800000008480A,41.69916,2.2436109,646.97266
ESCAT0800000008901E,41.363605,2.1113884,50.29297
ESCAT0800000008243A,41.720276,1.8394439,251.46484
ESCAT0800000008230B,41.59944,2.0280557,425.78125
ESCAT0800000008304A,41.553055,2.448056,104.98047
ESCAT0800000008100D,41.53472,2.183333,74.70703
ESCAT0800000008100C,41.53472,2.2163887,65.42969
ESCAT0800000008460A,41.77,2.390833,709.96094
ESCAT0800000008640A,41.540558,1.8955559,109.86328
ESCAT0800000008397A,41.62222,2.6705558,50.29297
ESCAT0800000008510B,41.98394,2.3106,472.16797
ESCAT0800000008206C,41.56028,2.0802782,228.02734
ESCAT0800000008202B,41.547222,2.114444,189.45312
ESCAT0800000008650B,41.826664,1.8997219,335.9375
ESCAT0800000008830C,41.35,2.027778,49.316406
ESCAT0800000008470A,41.68333,2.480556,149.90234
ESCAT0800000008195A,41.4725,2.0441668,110.35156
ESCAT0800000008105C,41.50444,2.2505558,299.8047
ESCAT0800000008777B,41.45889,1.6711109,299.8047
ESCAT0800000008394B,41.58194,2.510278,200.19531
ESCAT0800000008553A,41.840275,2.281111,669.9219
ESCAT0800000008759A,41.387783,1.926389,310.0586
ESCAT0800000008232A,41.559723,1.9555557,289.55078
ESPVA1200000012580A,40.418884,0.42611098,15.136719
ESPVA1200000012513D,40.471935,0.021667,661.1328
ESPVA1200000012340A,40.51194,0.25,305.17578
ESCAT0800000008182A,41.68444,2.163333,490.23438
